Zona,Fecha,DiaSemana,HoraInicio,HoraFin,Feriado,EventoEspecial,FlujoVehicular,Congestion
Av. Paseo de la Republica,2025-05-01,Saturday,00:00,01:00,no,ninguno,39,muy bajo
Av. Paseo de la Republica,2025-05-01,Saturday,01:00,02:00,no,ninguno,93,bajo
Av. Paseo de la Republica,2025-05-01,Saturday,02:00,03:00,no,ninguno,66,bajo
Av. Paseo de la Republica,2025-05-01,Saturday,03:00,04:00,no,ninguno,50,bajo
Av. Paseo de la Republica,2025-05-01,Saturday,04:00,05:00,no,ninguno,77,bajo
Av. Paseo de la Republica,2025-05-01,Saturday,05:00,06:00,no,ninguno,257,muy alto
Av. Paseo de la Republica,2025-05-01,Saturday,06:00,07:00,no,ninguno,298,muy alto
Av. Paseo de la Republica,2025-05-01,Saturday,07:00,08:00,no,ninguno,255,muy alto
Av. Paseo de la Republica,2025-05-01,Saturday,08:00,09:00,no,ninguno,145,regular
Av. Paseo de la Republica,2025-05-01,Saturday,09:00,10:00,no,ninguno,101,bajo
Av. Paseo de la Republica,2025-05-01,Saturday,10:00,11:00,no,ninguno,105,bajo
Av. Paseo de la Republica,2025-05-01,Saturday,11:00,12:00,no,ninguno,145,regular
Av. Paseo de la Republica,2025-05-01,Saturday,12:00,13:00,no,ninguno,107,bajo
Av. Paseo de la Republica,2025-05-01,Saturday,13:00,14:00,no,ninguno,93,bajo
Av. Paseo de la Republica,2025-05-01,Saturday,14:00,15:00,no,ninguno,110,bajo
Av. Paseo de la Republica,2025-05-01,Saturday,15:00,16:00,no,ninguno,145,regular
Av. Paseo de la Republica,2025-05-01,Saturday,16:00,17:00,no,ninguno,216,alto
Av. Paseo de la Republica,2025-05-01,Saturday,17:00,18:00,no,ninguno,299,muy alto
Av. Paseo de la Republica,2025-05-01,Saturday,18:00,19:00,no,ninguno,286,muy alto
Av. Paseo de la Republica,2025-05-01,Saturday,19:00,20:00,no,ninguno,206,alto
Av. Paseo de la Republica,2025-05-01,Saturday,20:00,21:00,no,ninguno,140,regular
Av. Paseo de la Republica,2025-05-01,Saturday,21:00,22:00,no,ninguno,162,regular
Av. Paseo de la Republica,2025-05-01,Saturday,22:00,23:00,no,ninguno,58,bajo
Av. Paseo de la Republica,2025-05-01,Saturday,23:00,24:00,no,ninguno,75,bajo
Av. Alfredo Benavides,2025-05-01,Saturday,00:00,01:00,no,ninguno,44,muy bajo
Av. Alfredo Benavides,2025-05-01,Saturday,01:00,02:00,no,ninguno,34,muy bajo
Av. Alfredo Benavides,2025-05-01,Saturday,02:00,03:00,no,ninguno,94,bajo
Av. Alfredo Benavides,2025-05-01,Saturday,03:00,04:00,no,ninguno,98,bajo
Av. Alfredo Benavides,2025-05-01,Saturday,04:00,05:00,no,ninguno,80,bajo
Av. Alfredo Benavides,2025-05-01,Saturday,05:00,06:00,no,ninguno,178,regular
Av. Alfredo Benavides,2025-05-01,Saturday,06:00,07:00,no,ninguno,165,regular
Av. Alfredo Benavides,2025-05-01,Saturday,07:00,08:00,no,ninguno,272,muy alto
Av. Alfredo Benavides,2025-05-01,Saturday,08:00,09:00,no,ninguno,174,regular
Av. Alfredo Benavides,2025-05-01,Saturday,09:00,10:00,no,ninguno,127,regular
Av. Alfredo Benavides,2025-05-01,Saturday,10:00,11:00,no,ninguno,96,bajo
Av. Alfredo Benavides,2025-05-01,Saturday,11:00,12:00,no,ninguno,109,bajo
Av. Alfredo Benavides,2025-05-01,Saturday,12:00,13:00,no,ninguno,82,bajo
Av. Alfredo Benavides,2025-05-01,Saturday,13:00,14:00,no,ninguno,147,regular
Av. Alfredo Benavides,2025-05-01,Saturday,14:00,15:00,no,ninguno,100,bajo
Av. Alfredo Benavides,2025-05-01,Saturday,15:00,16:00,no,ninguno,142,regular
Av. Alfredo Benavides,2025-05-01,Saturday,16:00,17:00,no,ninguno,243,alto
Av. Alfredo Benavides,2025-05-01,Saturday,17:00,18:00,no,ninguno,202,alto
Av. Alfredo Benavides,2025-05-01,Saturday,18:00,19:00,no,ninguno,344,muy alto
Av. Alfredo Benavides,2025-05-01,Saturday,19:00,20:00,no,ninguno,275,muy alto
Av. Alfredo Benavides,2025-05-01,Saturday,20:00,21:00,no,ninguno,136,regular
Av. Alfredo Benavides,2025-05-01,Saturday,21:00,22:00,no,ninguno,154,regular
Av. Alfredo Benavides,2025-05-01,Saturday,22:00,23:00,no,ninguno,68,bajo
Av. Alfredo Benavides,2025-05-01,Saturday,23:00,24:00,no,ninguno,57,bajo
Av. Universitaria,2025-05-01,Saturday,00:00,01:00,no,ninguno,93,bajo
Av. Universitaria,2025-05-01,Saturday,01:00,02:00,no,ninguno,27,muy bajo
Av. Universitaria,2025-05-01,Saturday,02:00,03:00,no,ninguno,42,muy bajo
Av. Universitaria,2025-05-01,Saturday,03:00,04:00,no,ninguno,44,muy bajo
Av. Universitaria,2025-05-01,Saturday,04:00,05:00,no,ninguno,91,bajo
Av. Universitaria,2025-05-01,Saturday,05:00,06:00,no,ninguno,247,alto
Av. Universitaria,2025-05-01,Saturday,06:00,07:00,no,ninguno,297,muy alto
Av. Universitaria,2025-05-01,Saturday,07:00,08:00,no,ninguno,158,regular
Av. Universitaria,2025-05-01,Saturday,08:00,09:00,no,ninguno,164,regular
Av. Universitaria,2025-05-01,Saturday,09:00,10:00,no,ninguno,141,regular
Av. Universitaria,2025-05-01,Saturday,10:00,11:00,no,ninguno,99,bajo
Av. Universitaria,2025-05-01,Saturday,11:00,12:00,no,ninguno,133,regular
Av. Universitaria,2025-05-01,Saturday,12:00,13:00,no,ninguno,134,regular
Av. Universitaria,2025-05-01,Saturday,13:00,14:00,no,ninguno,149,regular
Av. Universitaria,2025-05-01,Saturday,14:00,15:00,no,ninguno,124,regular
Av. Universitaria,2025-05-01,Saturday,15:00,16:00,no,ninguno,163,regular
Av. Universitaria,2025-05-01,Saturday,16:00,17:00,no,ninguno,146,regular
Av. Universitaria,2025-05-01,Saturday,17:00,18:00,no,ninguno,318,muy alto
Av. Universitaria,2025-05-01,Saturday,18:00,19:00,no,ninguno,336,muy alto
Av. Universitaria,2025-05-01,Saturday,19:00,20:00,no,ninguno,258,muy alto
Av. Universitaria,2025-05-01,Saturday,20:00,21:00,no,ninguno,121,regular
Av. Universitaria,2025-05-01,Saturday,21:00,22:00,no,ninguno,105,bajo
Av. Universitaria,2025-05-01,Saturday,22:00,23:00,no,ninguno,56,bajo
Av. Universitaria,2025-05-01,Saturday,23:00,24:00,no,ninguno,81,bajo
Av. de la Marina,2025-05-01,Saturday,00:00,01:00,no,ninguno,43,muy bajo
Av. de la Marina,2025-05-01,Saturday,01:00,02:00,no,ninguno,28,muy bajo
Av. de la Marina,2025-05-01,Saturday,02:00,03:00,no,ninguno,76,bajo
Av. de la Marina,2025-05-01,Saturday,03:00,04:00,no,ninguno,52,bajo
Av. de la Marina,2025-05-01,Saturday,04:00,05:00,no,ninguno,22,muy bajo
Av. de la Marina,2025-05-01,Saturday,05:00,06:00,no,ninguno,260,muy alto
Av. de la Marina,2025-05-01,Saturday,06:00,07:00,no,ninguno,270,muy alto
Av. de la Marina,2025-05-01,Saturday,07:00,08:00,no,ninguno,171,regular
Av. de la Marina,2025-05-01,Saturday,08:00,09:00,no,ninguno,133,regular
Av. de la Marina,2025-05-01,Saturday,09:00,10:00,no,ninguno,101,bajo
Av. de la Marina,2025-05-01,Saturday,10:00,11:00,no,ninguno,120,regular
Av. de la Marina,2025-05-01,Saturday,11:00,12:00,no,ninguno,115,bajo
Av. de la Marina,2025-05-01,Saturday,12:00,13:00,no,ninguno,80,bajo
Av. de la Marina,2025-05-01,Saturday,13:00,14:00,no,ninguno,90,bajo
Av. de la Marina,2025-05-01,Saturday,14:00,15:00,no,ninguno,116,bajo
Av. de la Marina,2025-05-01,Saturday,15:00,16:00,no,ninguno,162,regular
Av. de la Marina,2025-05-01,Saturday,16:00,17:00,no,ninguno,158,regular
Av. de la Marina,2025-05-01,Saturday,17:00,18:00,no,ninguno,332,muy alto
Av. de la Marina,2025-05-01,Saturday,18:00,19:00,no,ninguno,306,muy alto
Av. de la Marina,2025-05-01,Saturday,19:00,20:00,no,ninguno,340,muy alto
Av. de la Marina,2025-05-01,Saturday,20:00,21:00,no,ninguno,160,regular
Av. de la Marina,2025-05-01,Saturday,21:00,22:00,no,ninguno,110,bajo
Av. de la Marina,2025-05-01,Saturday,22:00,23:00,no,ninguno,62,bajo
Av. de la Marina,2025-05-01,Saturday,23:00,24:00,no,ninguno,63,bajo
Av. Abancay,2025-05-01,Saturday,00:00,01:00,no,ninguno,85,bajo
Av. Abancay,2025-05-01,Saturday,01:00,02:00,no,ninguno,42,muy bajo
Av. Abancay,2025-05-01,Saturday,02:00,03:00,no,ninguno,75,bajo
Av. Abancay,2025-05-01,Saturday,03:00,04:00,no,ninguno,61,bajo
Av. Abancay,2025-05-01,Saturday,04:00,05:00,no,ninguno,90,bajo
Av. Abancay,2025-05-01,Saturday,05:00,06:00,no,ninguno,162,regular
Av. Abancay,2025-05-01,Saturday,06:00,07:00,no,ninguno,273,muy alto
Av. Abancay,2025-05-01,Saturday,07:00,08:00,no,ninguno,269,muy alto
Av. Abancay,2025-05-01,Saturday,08:00,09:00,no,ninguno,110,bajo
Av. Abancay,2025-05-01,Saturday,09:00,10:00,no,ninguno,193,alto
Av. Abancay,2025-05-01,Saturday,10:00,11:00,no,ninguno,81,bajo
Av. Abancay,2025-05-01,Saturday,11:00,12:00,no,ninguno,144,regular
Av. Abancay,2025-05-01,Saturday,12:00,13:00,no,ninguno,82,bajo
Av. Abancay,2025-05-01,Saturday,13:00,14:00,no,ninguno,116,bajo
Av. Abancay,2025-05-01,Saturday,14:00,15:00,no,ninguno,80,bajo
Av. Abancay,2025-05-01,Saturday,15:00,16:00,no,ninguno,200,alto
Av. Abancay,2025-05-01,Saturday,16:00,17:00,no,ninguno,206,alto
Av. Abancay,2025-05-01,Saturday,17:00,18:00,no,ninguno,326,muy alto
Av. Abancay,2025-05-01,Saturday,18:00,19:00,no,ninguno,264,muy alto
Av. Abancay,2025-05-01,Saturday,19:00,20:00,no,ninguno,218,alto
Av. Abancay,2025-05-01,Saturday,20:00,21:00,no,ninguno,108,bajo
Av. Abancay,2025-05-01,Saturday,21:00,22:00,no,ninguno,152,regular
Av. Abancay,2025-05-01,Saturday,22:00,23:00,no,ninguno,88,bajo
Av. Abancay,2025-05-01,Saturday,23:00,24:00,no,ninguno,57,bajo
Av. Mexico,2025-05-01,Saturday,00:00,01:00,no,ninguno,25,muy bajo
Av. Mexico,2025-05-01,Saturday,01:00,02:00,no,ninguno,27,muy bajo
Av. Mexico,2025-05-01,Saturday,02:00,03:00,no,ninguno,42,muy bajo
Av. Mexico,2025-05-01,Saturday,03:00,04:00,no,ninguno,27,muy bajo
Av. Mexico,2025-05-01,Saturday,04:00,05:00,no,ninguno,20,muy bajo
Av. Mexico,2025-05-01,Saturday,05:00,06:00,no,ninguno,183,alto
Av. Mexico,2025-05-01,Saturday,06:00,07:00,no,ninguno,172,regular
Av. Mexico,2025-05-01,Saturday,07:00,08:00,no,ninguno,280,muy alto
