Ruta,Fecha,DiaSemana,Intervalo,Feriado,EventoEspecial,FlujoVehicular,Congestion
Av. paseo de la república,2025-05-01,Jueves,00:00-01:00,si,ninguno,9,muy bajo
Av. paseo de la república,2025-05-01,Jueves,01:00-02:00,si,ninguno,11,muy bajo
Av. paseo de la república,2025-05-01,Jueves,02:00-03:00,si,ninguno,10,muy bajo
Av. paseo de la república,2025-05-01,Jueves,03:00-04:00,si,ninguno,22,muy bajo
Av. paseo de la república,2025-05-01,Jueves,04:00-05:00,si,ninguno,15,muy bajo
Av. paseo de la república,2025-05-01,Jueves,05:00-06:00,si,ninguno,54,bajo
Av. paseo de la república,2025-05-01,Jueves,06:00-07:00,si,ninguno,84,bajo
Av. paseo de la república,2025-05-01,Jueves,07:00-08:00,si,ninguno,86,bajo
Av. paseo de la república,2025-05-01,Jueves,08:00-09:00,si,ninguno,74,bajo
Av. paseo de la república,2025-05-01,Jueves,09:00-10:00,si,ninguno,58,bajo
Av. paseo de la república,2025-05-01,Jueves,10:00-11:00,si,ninguno,85,bajo
Av. paseo de la república,2025-05-01,Jueves,11:00-12:00,si,ninguno,73,bajo
Av. paseo de la república,2025-05-01,Jueves,12:00-13:00,si,ninguno,62,bajo
Av. paseo de la república,2025-05-01,Jueves,13:00-14:00,si,ninguno,79,bajo
Av. paseo de la república,2025-05-01,Jueves,14:00-15:00,si,ninguno,58,bajo
Av. paseo de la república,2025-05-01,Jueves,15:00-16:00,si,ninguno,55,bajo
Av. paseo de la república,2025-05-01,Jueves,16:00-17:00,si,ninguno,88,bajo
Av. paseo de la república,2025-05-01,Jueves,17:00-18:00,si,ninguno,142,regular
Av. paseo de la república,2025-05-01,Jueves,18:00-19:00,si,ninguno,121,regular
Av. paseo de la república,2025-05-01,Jueves,19:00-20:00,si,ninguno,128,regular
Av. paseo de la república,2025-05-01,Jueves,20:00-21:00,si,ninguno,138,regular
Av. paseo de la república,2025-05-01,Jueves,21:00-22:00,si,ninguno,46,muy bajo
Av. paseo de la república,2025-05-01,Jueves,22:00-23:00,si,ninguno,59,bajo
Av. paseo de la república,2025-05-01,Jueves,23:00-00:00,si,ninguno,58,bajo
Av. alfredo benavides,2025-05-01,Jueves,00:00-01:00,si,ninguno,14,muy bajo
Av. alfredo benavides,2025-05-01,Jueves,01:00-02:00,si,ninguno,20,muy bajo
Av. alfredo benavides,2025-05-01,Jueves,02:00-03:00,si,ninguno,22,muy bajo
